epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,63.1084,2.3874,1.53338,1.2059,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0004952,0.0004952,0.0004952
78,63.8873,2.15931,1.54763,1.20974,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0004754,0.0004754,0.0004754
79,64.6551,2.31978,1.4544,1.28842,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0004556,0.0004556,0.0004556
80,65.3505,2.49885,1.68741,1.20254,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0004358,0.0004358,0.0004358
81,65.961,2.17945,1.46027,1.21655,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.000416,0.000416,0.000416
82,66.6763,2.20893,1.52029,1.17569,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0003962,0.0003962,0.0003962
83,67.3629,2.11758,1.48677,1.24515,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0003764,0.0003764,0.0003764
84,68.0838,2.47382,1.41734,1.21053,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0003566,0.0003566,0.0003566
85,68.7533,2.19311,1.29448,1.14213,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0003368,0.0003368,0.0003368
86,69.4268,2.44065,1.50341,1.22175,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.000317,0.000317,0.000317
87,70.0715,2.30056,1.35947,1.19398,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0002972,0.0002972,0.0002972
88,70.799,2.30143,1.51633,1.20946,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,0.0002774,0.0002774,0.0002774
89,71.5662,2.23284,1.4545,1.25028,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,0.0002576,0.0002576,0.0002576
90,72.334,2.12083,1.67597,1.14609,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,0.0002378,0.0002378,0.0002378
91,72.9976,2.26108,1.42658,1.27031,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,0.000218,0.000218,0.000218
92,73.6709,2.24286,1.46951,1.28146,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,0.0001982,0.0001982,0.0001982
93,74.3603,2.26552,1.55432,1.19448,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,0.0001784,0.0001784,0.0001784
94,75.0735,2.1796,1.28942,1.1425,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,0.0001586,0.0001586,0.0001586
95,75.7464,1.94465,1.88171,1.16046,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,0.0001388,0.0001388,0.0001388
96,76.4825,2.16493,1.34062,1.12418,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,0.000119,0.000119,0.000119
97,77.1726,2.22149,1.56006,1.27043,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,9.92e-05,9.92e-05,9.92e-05
98,77.8139,1.8729,1.9279,1.19303,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,7.94e-05,7.94e-05,7.94e-05
99,78.5016,2.09502,1.32703,1.16662,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,5.96e-05,5.96e-05,5.96e-05
100,79.1629,2.35876,1.29459,1.13816,0.67507,0.56522,0.58172,0.22833,2.12127,1.18987,1.17413,3.98e-05,3.98e-05,3.98e-05
